name,amount,category
bol.com b.v.,-19.69,Shopping_Clothes & Accessories
CZ Groep Zorgverzekeraar,-88.29,Wellbeing & Beauty_Daily care
Oranje spaarrekening K58675097,-400.00,Exclude_Exclude
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
Oranje spaarrekening K58675097,1504.66,Exclude_Exclude
easy jet tickets,-1504.66,Leisure_Outings
Selins Sweets,-12.00,Food & Drinks_Restaurants
SEP*IndianDelightVOF,-3.50,Exclude_Exclude
Zettle*Yemeni Restaur,-4.00,Food & Drinks_Restaurants
Zettle*Yemeni Restaur,-15.00,Food & Drinks_Restaurants
Oranje spaarrekening L98105976,34.50,Exclude_Exclude
BeverwijkseBazaar,-5.00,Transport_Parking
Prayer mat,-17.50,House & Garden_Equipment
Diversen,-3.65,Others_Withdrawals & Bank charges
RVO.NL,41.66,Reimbursement_Reimbursement
IKEA B.V. via Ingenico,-60.00,Shopping_Gifts
Oranje spaarrekening K58675097,60.00,Exclude_Exclude
VITENS NV,-20.00,Home_Utilities
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
Oranje spaarrekening K58675097,100.00,Exclude_Exclude
Oranje spaarrekening K58675097,70.00,Exclude_Exclude
BUDGET MOBIEL,-12.50,Multimedia_Telephone
Revolut Payments UAB,-36.00,Exclude_Exclude
AAB INZ TIKKIE,36.00,Exclude_Exclude
Oranje spaarrekening K58675097,50.00,Exclude_Exclude
Second hand bed,-50.00,House & Garden_Equipment
bonnet,-16.88,Transport_Car
Belgium trip,-438.64,Leisure_Outings
partial payment steamer,-5.43,House & Garden_Equipment
Oranje spaarrekening K58675097,100.00,Exclude_Exclude
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
BUDGET MOBIEL,-9.00,Multimedia_Telephone
Tikkie,-27.00,Others_Charity
Action 1194,-4.87,House & Garden_Equipment
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
Oranje spaarrekening K58675097,500.00,Exclude_Exclude
Groei groter rekening K98100562,-279.49,Exclude_Exclude
Sociale Verzekeringsbank,279.49,Benefits_Benefits
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
VVE Aquarel 2,-177.59,Home_Services
FLORIUS,-1778.13,Home_Mortgage
ETOS FR.8491,-9.99,Wellbeing & Beauty_Care & Pharmacy
Madras Masala BV,-38.50,Food & Drinks_Restaurants
Oranje spaarrekening L98105976,38.50,Exclude_Exclude
DIRECTLEASE BV,-505.99,Transport_Car
BUDGET ENERGIE,-75.00,Home_Utilities
SESANK YAMANI,100.00,Transfers_Transfers
STICHTING GO,-77.86,Family_Day care
Car wash,-8.95,Transport_Car
ODIDO NETHERLANDS B.V.,-47.28,Multimedia_Internet
TAF BV,-12.37,Home_Insurance & Fees
Transfer to India,-1067.09,Finances_Loans
Woz and waste tax,-1032.00,Home_Taxes
Oranje spaarrekening L98105976,-100.00,Exclude_Exclude
dinning chairs,-299.80,House & Garden_Equipment
kracher vaccim,-123.95,House & Garden_Equipment
zahra bday gift,-20.00,Shopping_Gifts
Bonnet recharge,-35.19,Transport_Car
Creditcard,-8.12,Transport_Parking
Vattenfall Customers   Solutions Netherlands NV,-24.30,Transport_Car
Revolut Payments UAB,-100.00,Family_Allowance
Revolut Payments UAB,-100.00,Family_Allowance
Revolut Payments UAB,-250.00,Food & Drinks_Groceries
IKEA B.V. via Ingenico,-150.00,Shopping_Gifts
Centrale Salarisadministratie,6070.48,Salary_Salary
ING Bank NV Betaalverzoek,45.00,Transfers_Transfers
Oranje spaarrekening K58675097,-15.00,Exclude_Exclude
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Oranje spaarrekening L98105976,81.73,Exclude_Exclude
Little India B.V,-33.33,Food & Drinks_Groceries
Indian Streetfood en Co via Stichting Mollie Payments,-11.50,Food & Drinks_Restaurants
Indian Streetfood en Co via Stichting Mollie Payments,-36.90,Food & Drinks_Restaurants
Blokker177 Almere,-1.49,Shopping_Gifts
Diversen,-4.50,Others_Withdrawals & Bank charges
DHL Parcel (e-Commerce) B.V. via Ingenico,-23.00,Exclude_Exclude
Oranje spaarrekening K58675097,-399.00,Exclude_Exclude
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
NS GROEP IZ NS REIZIGERS,-1.93,Transport_Public Transport
Diversen,-3.15,Shopping_Clothes & Accessories
Hema,-6.00,Shopping_Gifts
Action 1203,-8.00,Shopping_Gifts
Action 1203,-14.11,House & Garden_Fitment
Oranje spaarrekening K58675097,-943.66,Exclude_Exclude
RVO.NL,41.66,Reimbursement_Reimbursement
SESANK YAMANI,138.00,Transfers_Transfers
SESANK YAMANI,600.00,Transfers_Transfers
SESANK YAMANI,164.00,Transfers_Transfers
Revolut Payments UAB,-80.00,Food & Drinks_Groceries
Oranje spaarrekening L98105976,80.00,Exclude_Exclude
Oranje spaarrekening L98105976,25.98,Exclude_Exclude
cake,-80.00,Family_Other
Oranje spaarrekening K58675097,80.00,Exclude_Exclude
Action 1203,-2.03,Shopping_Others
Supermarkt Amoga,-25.98,Food & Drinks_Groceries
Apotheek de Brug,-11.66,Wellbeing & Beauty_Care & Pharmacy
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
Action 1194,-30.98,Shopping_Gifts
Daily Style Almere,-16.03,Shopping_Gifts
SESANK YAMANI,1.00,Transfers_Transfers
Scapino ,-20.34,Shopping_Clothes & Accessories
Ali express,-11.89,House & Garden_Equipment
Beverwijk dry fruits,-41.00,Finances_Others
Diversen,-5.26,Transport_Parking
BUDGET MOBIEL,-12.50,Multimedia_Telephone
Hajjam Kip,-29.30,Food & Drinks_Groceries
VVE Aquarel 2,-169.14,Home_Services
Oranje spaarrekening L98105976,29.30,Exclude_Exclude
BOLCOM BV,28.99,Transfers_Transfers
Budget Mobiel,-9.00,Multimedia_Telephone
Action 1194,-9.03,Shopping_Gifts
2970 Intertoys Almere,-9.99,Shopping_Gifts
2970 Intertoys Almere,-34.99,Shopping_Gifts
Hema EV083,-6.00,Shopping_Gifts
Hema EV083,-16.00,Shopping_Gifts
AAB INZ TIKKIE,60.00,Exclude_Exclude
BeverwijkseBazaar,-5.00,Transport_Parking
Razi Market,-31.00,Exclude_Exclude
Opname kantoor,-30.00,House & Garden_Equipment
SEP*Sunay Import Expor,-7.00,Shopping_Others
SNS Betaalverzoek,-11.50,Exclude_Exclude
Zettle *Mirac V O F,-10.00,House & Garden_Other
SEP*IndianDelightVOF,-3.50,Exclude_Exclude
Afghaans Restaurant,-16.00,Exclude_Exclude
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
Zoofy BV,-99.95,Leisure_Outings
BUDGET ENERGIE,-75.00,Home_Utilities
FLORIUS,-1778.13,Home_Mortgage
DIRECTLEASE BV,-505.99,Transport_Car
Oranje spaarrekening K58675097,2000.00,Exclude_Exclude
VITENS NV,63.14,Reimbursement_Reimbursement
Revolut Payments UAB,-1095.00,Finances_Loans
Creditcard,-2598.00,Transport_Airfare
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-47.28,Multimedia_Internet
Vattenfall Customers   Solutions Netherlands NV,-93.29,Transport_Car
STICHTING GO,-77.86,Family_Day care
Revolut**0789*,-100.00,Family_Allowance
Revolut**0789*,-100.00,Family_Allowance
Revolut**0789*,-250.00,Food & Drinks_Groceries
Gamma Almere Doemere,-6.19,House & Garden_Fitment
Oranje spaarrekening L98105976,-75.00,Exclude_Exclude
Groei groter rekening K98100562,-42.52,Exclude_Exclude
H ? M Hennes ? Mauritz Netherlands B.V.,-28.49,Shopping_Clothes & Accessories
Creditcard,-214.39,House & Garden_Fitment
Action 1203,-25.16,Food & Drinks_Groceries
ali express,-18.96,Family_Toys
bol.com b.v.,-28.99,Exclude_Exclude
Centrale Salarisadministratie,6074.83,Salary_Salary
PAY.nl*FunZone Almere,-2.00,Leisure_Outings
Oranje spaarrekening K58675097,-15.00,Exclude_Exclude
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
IKEA BV via ING,-9.95,House & Garden_Fitment
Oranje spaarrekening L98105976,60.00,Exclude_Exclude
Tikkie,-60.00,Food & Drinks_Restaurants
Oranje spaarrekening K58675097,-399.00,Exclude_Exclude
Albert Heijn Fr.8642,-7.49,Wellbeing & Beauty_Care & Pharmacy
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
NS GROEP IZ NS REIZIGERS,5.22,Reimbursement_Reimbursement
Diversen,-3.15,Others_Withdrawals & Bank charges
RVO.NL,41.66,Reimbursement_Reimbursement
Lycamobile via Worldpay B.V.,-15.00,Multimedia_Telephone
Oranje spaarrekening H96878896,54.54,Exclude_Exclude
emTransit B.V.,-54.54,Others_Business expense
NS GROEP IZ NS REIZIGERS,-7.58,Transport_Public Transport
Oranje spaarrekening K58675097,-3511.00,Exclude_Exclude
Oranje spaarrekening V99681971,2000.00,Exclude_Exclude
Oranje spaarrekening X94446204,1097.00,Exclude_Exclude
Oranje spaarrekening L10022239,414.00,Exclude_Exclude
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
Radiator installation ,-175.00,House & Garden_Repairs
Den haag,-16.00,Transport_Parking
Plint installation,-113.72,House & Garden_Fitment
Gemeente Amstelveen,-13.60,Leisure_Others
Gemeente Amstelveen,-13.60,Leisure_Others
Gemeente Amstelveen,-13.60,Leisure_Others
BUDGET MOBIEL,-12.50,Multimedia_Telephone
VVE Aquarel 2,-169.14,Home_Services
Praxis Almere,-6.29,House & Garden_Fitment
Action 1194,-4.77,House & Garden_Fitment
Groei groter rekening K98100562,7.79,Transfers_Transfers
Holi restaurant,-40.00,Food & Drinks_Restaurants
Oranje spaarrekening L98105976,40.00,Exclude_Exclude
Gamma Almere Doemere,-23.98,House & Garden_Fitment
Action 1203,-15.33,House & Garden_Fitment
ETOS 7939,-7.79,Wellbeing & Beauty_Care & Pharmacy
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
BUDGET ENERGIE,-75.00,Home_Utilities
FLORIUS,-1778.13,Home_Mortgage
DIRECTLEASE BV,-505.99,Transport_Car
Hema EV035 Den Haag,-2.00,Shopping_Gifts
Turkish doner - den haag,-17.00,Food & Drinks_Restaurants
Embassy of India,-26.00,Others_Uncategorised
Embassy of India,-4.00,Others_Uncategorised
Oranje spaarrekening L98105976,22.10,Exclude_Exclude
Hajjam Kip,-22.10,Food & Drinks_Snacks
STICHTING GO,-77.86,Family_Day care
PRAXIS ALMERE,-9.78,House & Garden_Fitment
Action 1203,-43.02,House & Garden_Fitment
Bibliotheek Almere Bui,-3.00,Others_Uncategorised
Koninklijke PostNL B.V. by Buckaroo,-39.33,Shopping_Clothes & Accessories
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-47.28,Multimedia_Internet
Mw AK van Vliet,-3.94,Food & Drinks_Restaurants
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-172.00,Food & Drinks_Groceries
Groei groter rekening K98100562,-100.00,Exclude_Exclude
Oranje spaarrekening L98105976,-100.00,Exclude_Exclude
Oranje spaarrekening K58675097,-1305.00,Exclude_Exclude
Wise,-1577.82,Finances_Loans
Oranje spaarrekening K58675097,-2000.00,Exclude_Exclude
Little india,-78.04,Food & Drinks_Groceries
Centrale Salarisadministratie,8069.63,Salary_Salary
Oranje spaarrekening K58675097,-1000.00,Exclude_Exclude
Oranje spaarrekening V99681971,-2000.00,Exclude_Exclude
Oranje spaarrekening L10022239,-15.00,Exclude_Exclude
AK SYED CJ,2999.00,Exclude_Exclude
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
BOLCOM BV,-11.99,Home_Services
AK SYED CJ,1.00,Reimbursement_Reimbursement
Gamma Almere Doemere,-12.28,House & Garden_Fitment
PRAXIS ALMERE,-28.39,House & Garden_Fitment
Groei groter rekening K98100562,50.38,Transfers_Transfers
Adidas Benelux B.V.,-30.40,Shopping_Clothes & Accessories
H ? M Hennes ? Mauritz Netherlands B.V.,-19.98,Shopping_Clothes & Accessories
Groei groter rekening K98100562,35.58,Transfers_Transfers
PRIMARK ALMERE,-7.00,Shopping_Clothes & Accessories
C&A 102,-9.09,Shopping_Clothes & Accessories
KiK Textilien und Non,-15.00,Shopping_Clothes & Accessories
KiK Textilien und Non,-5.34,House & Garden_Fitment
Prijsmepper 6182,-2.49,Shopping_Clothes & Accessories
Vattenfall Customers & Solutions Netherlands NV,93.71,Reimbursement_Reimbursement
ST PAYPRO CLIENTGELDEN,-30.00,Home_Insurance & Fees
AAB INZ TIKKIE,25.00,Exclude_Exclude
Oranje spaarrekening L10022239,-399.00,Transfers_Transfers
BELASTINGDIENST,101.00,Reimbursement_Reimbursement
BELASTINGDIENST,298.00,Reimbursement_Reimbursement
SumUp  *M.Q Vervoer,-60.00,Transport_Taxi
Lycamobile via Worldpay B.V.,-10.00,Multimedia_Telephone
Diversen,-3.15,Food & Drinks_Groceries
RVO.NL,41.66,Reimbursement_Reimbursement
Oranje spaarrekening X94446204,-41.66,Transfers_Transfers
Stichting GO,-0.01,Family_Day care
NS GROEP IZ NS REIZIGERS,-5.60,Transport_Public Transport
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
VITENS NV,-21.75,Home_Utilities
BUDGET MOBIEL,-10.00,Multimedia_Telephone
Oranje spaarrekening K58675097,-150.00,Transfers_Transfers
Stichting Klantgelden DeskVGO Groep,150.00,Reimbursement_Reimbursement
VVE Aquarel 2,-169.14,Home_Services
Groei groter rekening K98100562,-261.70,Transfers_Transfers
Sociale Verzekeringsbank,261.70,Benefits_Benefits
CZ Groep Zorgverzekeraar,-137.95,Wellbeing & Beauty_Insurance
CZ Groep Zorgverzekeraar,-150.45,Wellbeing & Beauty_Insurance
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
FLORIUS,-1778.13,Home_Mortgage
DIRECTLEASE BV,-505.99,Transport_Car
Vattenfall Customers   Solutions Netherlands NV,-93.71,Transport_Car
BUDGET ENERGIE,-75.00,Home_Utilities
AK Syed CJ,-1000.00,Finances_Loans
AK Syed CJ,-10.00,Finances_Loans
AK Syed CJ,-1990.00,Finances_Loans
Oranje spaarrekening X94446204,1314.00,Exclude_Exclude
Oranje spaarrekening V99681971,1686.00,Exclude_Exclude
STICHTING GO,-77.86,Family_Day care
ODIDO NETHERLANDS B.V.,-45.00,Multimedia_Internet
TAF BV,-12.37,Home_Insurance & Fees
Vattenfall Customers   Solutions Netherlands NV,-93.71,Exclude_Exclude
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-150.00,Food & Drinks_Groceries
Oranje spaarrekening L98105976,-100.00,Transfers_Transfers
Wise,-100.00,Food & Drinks_Groceries
Wise,-1295.46,Finances_Loans
Groei groter rekening K98100562,-100.00,Transfers_Transfers
Centrale Salarisadministratie,5994.40,Salary_Salary
BELASTINGDIENST,15.00,Reimbursement_Reimbursement
Oranje spaarrekening X94446204,-678.00,Transfers_Transfers
BELASTINGDIENST,678.00,Reimbursement_Reimbursement
Budget Mobiel,-10.00,Multimedia_Telephone
Diversen,-3.15,Others_Withdrawals & Bank charges
CZ Groep Zorgverzekeraar,-59.82,Wellbeing & Beauty_Care & Pharmacy
Oranje spaarrekening X94446204,-41.66,Transfers_Transfers
NS GROEP IZ NS REIZIGERS,-7.24,Transport_Public Transport
RVO.NL,41.66,Reimbursement_Reimbursement
CZ Groep Zorgverzekeraar,0.01,Reimbursement_Reimbursement
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
VITENS NV,-21.75,Home_Utilities
OWM Centrale Zorgverzekeraars gr,-0.01,Wellbeing & Beauty_Insurance
Budget Mobiel,-5.00,Multimedia_Telephone
VVE Aquarel 2,-169.14,Home_Services
BUDGET MOBIEL,-10.00,Multimedia_Telephone
Diversen,-20.89,Transport_Parking
CZ Groep Zorgverzekeraar,-293.50,Wellbeing & Beauty_Insurance
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
Tikkie,-20.00,Others_Charity
FLORIUS,-1778.13,Home_Mortgage
DIRECTLEASE BV,-506.00,Transport_Car
BUDGET ENERGIE,-75.00,Home_Utilities
CZ Groep Zorgverzekeraar,42.36,Reimbursement_Reimbursement
Infomedics,-67.64,Wellbeing & Beauty_Care & Pharmacy
Infomedics,-42.36,Exclude_Exclude
Revolut Bank UAB,-829.00,Finances_Loans
Oranje spaarrekening L98105976,8.00,Transfers_Transfers
tv and mount,-1930.99,House & Garden_Fitment
Oranje spaarrekening V99681971,1930.99,Transfers_Transfers
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-40.00,Multimedia_Internet
STICHTING GO,-78.94,Family_Day care
ICI Paris 7716,-6.50,Shopping_Clothes & Accessories
Action 1203,-17.68,Transfers_Transfers
Action 1203,-19.17,House & Garden_Fitment
Albert Heijn Fr.8642,-7.98,Food & Drinks_Groceries
Albert Heijn 1275,-7.00,Shopping_Gifts
Hema,-2.00,Shopping_Gifts
Albert Heijn Fr.8642,-8.89,Food & Drinks_Groceries
inyas gift,-8.00,Shopping_Gifts
Oranje spaarrekening K58675097,-500.00,Transfers_Transfers
Oranje spaarrekening L98105976,-91.00,Transfers_Transfers
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-250.00,Food & Drinks_Groceries
Groei groter rekening K98100562,-100.00,Transfers_Transfers
Creditcard,-7.00,Exclude_Exclude
Bulb and throw from woon,-7.50,House & Garden_Fitment
Inya’s birthday gift,-10.00,Shopping_Gifts
primark,-58.30,Shopping_Gifts
Hair dryer,-44.00,Wellbeing & Beauty_Daily care
Vattenfall Customers   Solutions Netherlands NV,-63.14,Transport_Car
Centrale Salarisadministratie,5994.41,Salary_Salary
The Golden Cut,-18.00,Wellbeing & Beauty_Beauty
Albert Heijn Fr.8642,-3.81,Food & Drinks_Groceries
TMC*GALMSchip620,-1.49,Transport_Parking
AAB INZ TIKKIE,25.00,Exclude_Exclude
Oranje spaarrekening V99681971,-3615.75,Transfers_Transfers
FLORIUS,7.23,Exclude_Exclude
FLORIUS,3608.52,Exclude_Exclude
AAB INZ TIKKIE,36.73,Exclude_Exclude
PRIMARK ALMERE,-16.00,Shopping_Gifts
Action 1203,-5.11,House & Garden_Fitment
SEP*Barada Restaurant,-34.48,Food & Drinks_Restaurants
SEP*Barada Restaurant,-34.48,Exclude_Exclude
Albert Heijn Fr.8642,-3.02,Food & Drinks_Groceries
Tanger Almere,-24.80,Food & Drinks_Groceries
Thanima Group,-5.07,Food & Drinks_Groceries
Albert Heijn 8642,-14.99,Food & Drinks_Groceries
Action 1194,-5.95,House & Garden_Fitment
SHELL EV CHARGING SOLUTI,-27.07,Transport_Car
SEP*Barada Restaurant,-41.97,Food & Drinks_Restaurants
Oranje spaarrekening L98105976,47.07,Transfers_Transfers
Oranje spaarrekening L98105976,4.00,Transfers_Transfers
Oranje spaarrekening L98105976,12.00,Transfers_Transfers
Oranje spaarrekening X94446204,-719.66,Transfers_Transfers
BELASTINGDIENST,678.00,Reimbursement_Reimbursement
Revolut Payments UAB via Stripe,-72.00,Exclude_Exclude
Revolut Bank UAB,-108.00,Exclude_Exclude
AAB INZ TIKKIE,180.00,Exclude_Exclude
RVO.NL,41.66,Reimbursement_Reimbursement
The Golden Cut,-23.00,Wellbeing & Beauty_Beauty
NS GROEP IZ NS REIZIGERS,-15.32,Transport_Public Transport
Diversen,-3.15,Others_Withdrawals & Bank charges
Identity Services via CM.com,-0.01,Transport_Parking
Die Grenze,-12.37,Shopping_Gifts
Jysk L636,-15.00,House & Garden_Fitment
Oranje spaarrekening K58675097,-178.00,Transfers_Transfers
Goudse Schadeverzekeringen N.V,-5.00,Home_Insurance & Fees
Goudse Schadeverzekeringen N.V,-8.66,Home_Insurance & Fees
BELASTINGDIENST,178.00,Reimbursement_Reimbursement
VITENS NV,-21.75,Home_Utilities
Tom tailot t shirt,-17.24,Shopping_Clothes & Accessories
Ck briefs,-30.90,Shopping_Clothes & Accessories
uzma backpack at tk max,-40.00,Shopping_Clothes & Accessories
bag at tk max,-89.00,Shopping_Clothes & Accessories
Chocolates,-23.88,Shopping_Gifts
Creditcard,-206.00,Exclude_Exclude
Lycatel via Worldpay B.V.,-10.00,Multimedia_Telephone
TK Maxx,-17.28,Shopping_Clothes & Accessories
TK Maxx,-20.00,Shopping_Gifts
TK Maxx,-37.28,Exclude_Exclude
Creditcard,-57.20,Leisure_Outings
Oranje spaarrekening K58675097,-500.00,Transfers_Transfers
VVE Aquarel 2,-169.14,Home_Services
BUDGET MOBIEL,-10.00,Multimedia_Telephone
NLOVLD5DR8LWM8V5Z7,-7.10,Transport_Public Transport
Albert Heijn B.V.,-12.00,Food & Drinks_Groceries
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
CZ Groep Zorgverzekeraar,-293.50,Wellbeing & Beauty_Insurance
Vattenfall Klantenservice N.V.,-100.00,Transport_Public Transport
FLORIUS,-1778.13,Home_Mortgage
BUDGET ENERGIE,-75.00,Home_Utilities
DIRECTLEASE BV,-506.00,Transport_Car
Vattenfall Customers   Solutions Netherlands NV,-85.00,Transport_Car
Geldautomaat,-30.00,Exclude_Exclude
dhabeli,-4.00,Food & Drinks_Groceries
Creditcard,-47.07,Shopping_Clothes & Accessories
ODIDO NETHERLANDS B.V.,-35.00,Multimedia_Internet
TAF BV,-12.37,Home_Insurance & Fees
STICHTING GO,-78.94,Family_Day care
Revolut Bank UAB,-906.00,Finances_Loans
Creditcard,-10.97,Shopping_Clothes & Accessories
Batavia Stad,-2.40,Transport_Parking
Groei groter rekening K98100562,-100.00,Transfers_Transfers
Thanveer Ahamed,21.00,Transfers_Transfers
Oranje spaarrekening L98105976,-63.02,Transfers_Transfers
Oranje spaarrekening K58675097,-21.00,Transfers_Transfers
Oranje spaarrekening H96878896,55.00,Transfers_Transfers
Uzma parlour,-55.00,Wellbeing & Beauty_Daily care
Geocery Revolut Bank UAB,-250.00,Food & Drinks_Groceries
Barada restaurant Revolut Bank UAB,-37.00,Food & Drinks_Restaurants
Revolut Bank UAB,-100.00,Family_Allowance
uzma - Revolut Bank UAB,-100.00,Family_Allowance
Revolut Bank UAB,-542.00,Exclude_Exclude
Espirit t shirt,-15.19,Shopping_Clothes & Accessories
Nike shoes,-38.00,Shopping_Clothes & Accessories
Creditcard,-95.67,Shopping_Gifts
Creditcard,-239.60,Leisure_Outings
Creditcard,-71.98,House & Garden_Fitment
Centrale Salarisadministratie,5997.30,Salary_Salary
Batavia Stad,-3.00,Transport_Parking
Revolut Bank UAB,-20.00,Others_Charity
SNS Betaalverzoek,-40.00,Wellbeing & Beauty_Others
CZ Groep Zorgverzekeraar,-118.45,Home_Insurance & Fees
Potae Almere,-15.98,Food & Drinks_Restaurants
Action 1194,-13.51,House & Garden_Fitment
Revolut Bank UAB,-24.00,Food & Drinks_Groceries
Groei groter rekening K98100562,54.99,Transfers_Transfers
Creditcard,-15.01,House & Garden_Fitment
Creditcard,-54.99,Shopping_Clothes & Accessories
Creditcard,-11.00,Food & Drinks_Snacks
Oranje spaarrekening L98105976,35.00,Transfers_Transfers
Oranje spaarrekening L98105976,15.98,Transfers_Transfers
Groei groter rekening K98100562,72.74,Transfers_Transfers
Groei groter rekening K98100562,-54.99,Transfers_Transfers
Creditcard,-72.74,Shopping_Clothes & Accessories
AAB INZ TIKK,12.00,Transfers_Transfers
Revolut Bank UAB,-12.00,Transfers_Transfers
Oranje spaarrekening X94446204,-678.00,Transfers_Transfers
STICHTING GO,-16.00,Family_Day care
BELASTINGDIENST,678.00,Reimbursement_Reimbursement
Groei groter rekening K98100562,9.99,Transfers_Transfers
Creditcard,-9.99,Shopping_Clothes & Accessories
Tikkie,-39.00,Home_Services
ING Paymen,-3.15,Others_Withdrawals & Bank charges
Oranje spaarrekening X94446204,-41.66,Transfers_Transfers
RVO.NL,41.66,Reimbursement_Reimbursement
Oranje spaarrekening L98105976,-51.00,Transfers_Transfers
Oranje spaarrekening W85769111,1948.01,Transfers_Transfers
Groei groter rekening K98100562,-1948.01,Transfers_Transfers
Oranje spaarrekening W85769111,0.53,Transfers_Transfers
Oranje spaarrekening W85769111,29.98,Transfers_Transfers
Creditcard,-29.98,Shopping_Clothes & Accessories
Revolut Payments UAB via Stripe,-128.50,Transfers_Transfers
AAB INZ TIKKIE,128.50,Transfers_Transfers
VITENS NV,-21.75,Home_Utilities
Goudse Schadeverzekeringen N.V,-13.66,Home_Insurance & Fees
Revolut Bank UAB,-53.00,Others_Withdrawals & Bank charges
NS Groep N.V.,-2.50,Transport_Public Transport
Aashka Beauty Parlour,-26.00,Wellbeing & Beauty_Care & Pharmacy
Lycatel via Worldpay B.V.,-10.00,Multimedia_Telephone
BUDGET MOBIEL,-10.00,Multimedia_Telephone
Best secret,-49.99,Shopping_Clothes & Accessories
Diversen,-50.81,Transport_Parking
Creditcard,-13.85,House & Garden_Fitment
VVE Aquarel 2,-169.14,Home_Services
Oranje spaarrekening H96878896,-55.00,Transfers_Transfers
Oranje spaarrekening W85769111,-261.70,Transfers_Transfers
Sociale Verzekeringsbank,261.70,Benefits_Benefits
CZ Groep Zorgverzekeraar,-293.50,Wellbeing & Beauty_Insurance
OHRA Schadeverzekeringen,-20.91,Home_Insurance & Fees
Vattenfall Klantenservice N.V.,-100.00,Home_Utilities
Albert Heijn B.V.,-0.01,Food & Drinks_Groceries
Oranje spaarrekening W85769111,8.95,Transfers_Transfers
Creditcard,-8.95,Family_Toys
Creditcard,-17.90,Shopping_Gifts
FLORIUS,-1778.13,Home_Mortgage
BUDGET ENERGIE,-75.00,Home_Utilities
DIRECTLEASE BV,-506.00,Transport_Car
Tikkie,-11.50,House & Garden_Fitment
Vattenfall Customers   Solutions Netherlands NV,-39.88,Finances_Loans
Utretch Krishna vilas parking,-4.43,Transport_Parking
Creditcard,-72.52,Shopping_Clothes & Accessories
Creditcard,-89.35,House & Garden_Fitment
STICHTING GO,-78.94,Family_Day care
Madras Masala BV,-41.00,Food & Drinks_Restaurants
Revolut Bank UAB,-942.00,Finances_Loans
TAF BV,-12.37,Home_Insurance & Fees
ODIDO NETHERLANDS B.V.,-35.00,Multimedia_Internet
Vattenfall Customers   Solutions Netherlands NV,-80.80,Transport_Car
Belastingdienst,-937.00,Home_Taxes
Oranje spaarrekening X94446204,937.00,Transfers_Transfers
GBLT,-124.77,Home_Taxes
Oranje spaarrekening W85769111,59.93,Transfers_Transfers
Creditcard,-59.93,Family_Other
Albert Heijn Fr.8642,-7.74,Food & Drinks_Groceries
Oranje spaarrekening W85769111,-100.00,Transfers_Transfers
Revolut Payments UAB via Stripe,-100.00,Family_Allowance
Revolut Payments UAB via Stripe,-200.00,Family_Allowance
